start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
311.1851410430839,311.33607074829933,57,69,0,0,0,0,1,1,1,1,1,1,1,1,1
311.1735310657597,311.33607074829933,69,44,-1,0,0,0,1,1,1,1,1,1,0,0,0,0
310.88328163265305,311.0690412698413,55,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310.6278621315193,310.83684172335603,57,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310.3376126984127,310.6278621315193,57,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
310.15185306122453,310.3376126984127,69,65,2,2,2,1,1,1,0,0,0,0,1,1,1,1,1,1
310.0821931972789,310.3376126984127,57,48,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1
309.7790498866213,310.2215129251701,60,85,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
309.25660090702945,309.4075306122449,55,58,0,0,0,0,0,0,0,0,0,1,1,0,0
308.97796145124715,309.24499092970524,72,56,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2
307.89694965986394,308.20009297052155,60,83,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
306.7823918367347,306.9217115646258,57,38,0,0,0,0,0,0,0,0,0,0,0,0
306.2715528344671,306.4340925170068,57,78,0,0,1,1,1,1,1,2,2,2,2,1,1,0
305.70138004535147,306.2715528344671,57,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
305.283420861678,305.43435056689344,62,56,-3,-1,2,2,2,2,2,2,2,1,0,0,0
304.6680920634921,304.83063174603177,56,72,2,2,2,2,1,1,1,1,1,1,1,2,2,2
303.5174204081633,303.90054965986394,60,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
303.36649070294783,303.5174204081633,60,86,0,0,0,0,0,1,1,1,1,1,0,1,1
302.94853151927435,303.08785124716553,58,49,0,0,0,0,0,0,0,0,0,0,0,0
302.40286258503403,302.63506213151925,57,78,0,0,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,0,0
301.90234965986394,302.0661732426304,57,74,2,2,2,1,1,0,0,0,0,0,1,1,1,0,0
301.6004902494331,301.7398099773242,57,70,1,1,1,1,1,1,1,1,1,0,0,0
301.35668072562356,301.6004902494331,57,80,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
301.0316013605442,301.26380090702946,60,81,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
300.8806716553288,301.04321133786846,62,77,0,0,1,1,1,1,1,1,1,1,1,1,1,-4
299.84609977324266,300.00992335600904,56,80,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
299.1959410430839,299.43975056689345,57,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
298.62705215419504,298.8360317460318,57,83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1
297.5228204081633,297.6621401360544,62,73,2,1,1,1,0,0,0,0,0,0,0,-1
297.2557909297052,297.5228204081633,62,82,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2
296.6172421768708,296.7913918367347,54,38,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
296.45470249433106,296.6172421768708,56,75,1,1,1,1,1,1,1,1,1,1,1,1,1,0
295.8845297052154,296.3502126984127,57,61,1,1,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-2,-2,-2,-2,-2,0,0,1,1,1,1,1,1,1,1,1,1,1,1
295.5362303854875,295.6987700680272,56,45,4,4,2,1,0,0,0,0,0,0,0,0,0,0
295.00217142857144,295.1647111111111,56,40,5,5,2,2,2,2,2,1,1,1,0,0,0,0
294.8396317460317,294.9905614512472,58,81,1,1,1,1,2,2,1,1,0,0,0,0,-1
294.2475229024943,294.410062585034,55,77,1,1,1,1,1,1,1,1,0,0,0,0,0,-1
293.70057006802716,293.87471972789115,57,53,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
293.15490113378684,293.29422086167796,57,58,2,2,2,2,2,2,2,1,1,1,0,0
292.5976222222222,292.7833818594104,57,73,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
291.7952498866213,291.9345696145125,59,50,-1,-1,0,0,0,0,0,0,0,0,0,0
290.97094149659864,291.4585605442177,55,64,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290.6226421768708,290.82001179138325,55,62,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0
290.43688253968253,290.6226421768708,56,45,0,0,0,0,0,-1,-1,-1,2,2,3,3,3,3,3,0
290.1350231292517,290.33239274376416,55,47,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
289.8899297052154,290.1118031746032,57,68,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
289.6112902494331,289.84348979591834,55,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
289.34426077097504,289.5532403628118,60,58,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
289.06562131519274,289.25138095238094,55,44,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2
288.9843514739229,289.34426077097504,60,67,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288.8218117913832,289.0075714285714,57,82,2,2,2,2,2,2,2,2,2,1,1,1,1,1,-2,-2
288.8102018140589,288.9843514739229,60,94,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
288.51995238095236,288.8218117913832,57,68,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
288.46190249433107,288.61283219954646,60,55,0,0,0,1,1,1,1,1,1,1,1,1,1
288.24131292517006,288.51995238095236,57,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
287.9149496598639,288.06716326530614,60,70,2,2,2,2,2,1,1,1,1,1,0,0,0,-1
287.2299609977324,287.6711401360544,57,58,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1
286.6030222222222,286.858441723356,55,86,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0
286.3243827664399,286.6030222222222,55,78,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
286.1618430839002,286.30116281179136,57,85,1,1,1,1,1,1,1,1,1,1,1,0
285.78903990929706,285.9980195011338,55,75,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
285.5568403628118,285.7193800453515,57,67,2,2,2,2,2,2,1,1,1,1,1,1,1,1
285.23176099773247,285.4987904761905,55,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
